"filename", "language", "C#", "XML", "JSON", "Ini", "comment", "blank", "total"
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.SignalSource\MarineControl.HMS.SerialHelper.csproj", "XML", 0, 143, 0, 0, 0, 0, 143
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.SignalSource\Program.cs", "C#", 18, 0, 0, 0, 3, 2, 23
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.SignalSource\Properties\AssemblyInfo.cs", "C#", 15, 0, 0, 0, 17, 5, 37
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.SignalSource\Properties\Resources.Designer.cs", "C#", 33, 0, 0, 0, 22, 9, 64
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.SignalSource\Properties\Settings.Designer.cs", "C#", 13, 0, 0, 0, 8, 6, 27
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.SignalSource\UdpCom.cs", "C#", 154, 0, 0, 0, 46, 29, 229
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.SignalSource\UdpForm.Designer.cs", "C#", 220, 0, 0, 0, 59, 6, 285
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.SignalSource\UdpForm.cs", "C#", 53, 0, 0, 0, 14, 14, 81
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.SignalSource\obj\Debug\.NETFramework,Version=v4.6.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.SignalSource\obj\Debug\.NETFramework,Version=v4.6.2.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.SignalSource\obj\Release\.NETFramework,Version=v4.6.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.SignalSource\serialCom.cs", "C#", 189, 0, 0, 0, 65, 46, 300
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.SignalSource\serialForm.cs", "C#", 160, 0, 0, 0, 62, 42, 264
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.SignalSource\serialForm.designer.cs", "C#", 445, 0, 0, 0, 89, 5, 539
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\Form1.Designer.cs", "C#", 374, 0, 0, 0, 80, 8, 462
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\Form1.cs", "C#", 155, 0, 0, 0, 36, 50, 241
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\MarineControl.HMS.VirtualSignalGenerator.csproj", "XML", 0, 144, 0, 0, 0, 0, 144
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\Program.cs", "C#", 18, 0, 0, 0, 3, 2, 23
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\Properties\AssemblyInfo.cs", "C#", 15, 0, 0, 0, 17, 5, 37
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\Properties\Resources.Designer.cs", "C#", 33, 0, 0, 0, 22, 9, 64
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\Properties\Settings.Designer.cs", "C#", 13, 0, 0, 0, 8, 6, 27
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\Sensor.cs", "C#", 60, 0, 0, 0, 20, 22, 102
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\UdpCom.cs", "C#", 154, 0, 0, 0, 46, 29, 229
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\UdpForm.cs", "C#", 53, 0, 0, 0, 13, 15, 81
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\UdpForm.designer.cs", "C#", 169, 0, 0, 0, 44, 6, 219
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\obj\Debug\.NETFramework,Version=v4.6.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\obj\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\obj\Release\.NETFramework,Version=v4.6.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\obj\Release\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS.VirtualSignalGenerator\serialCom.cs", "C#", 189, 0, 0, 0, 65, 46, 300
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\1.通信\Serial\SerialForm.cs", "C#", 160, 0, 0, 0, 162, 53, 375
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\1.通信\Serial\SerialForm.designer.cs", "C#", 252, 0, 0, 0, 47, 5, 304
