"filename", "language", "C#", "XML", "comment", "blank", "total"
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\DataFormat.cs", "C#", 14, 0, 14, 5, 33
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\IDataBuffer.cs", "C#", 11, 0, 20, 4, 35
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\Properties\AssemblyInfo.cs", "C#", 15, 0, 17, 5, 37
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\RelatedDataBuffer.cs", "C#", 53, 0, 20, 13, 86
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\bin\Debug\GalaSoft.MvvmLight.Extras.xml", "XML", 0, 465, 0, 1, 466
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\bin\Debug\GalaSoft.MvvmLight.Platform.xml", "XML", 0, 350, 0, 1, 351
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\bin\Debug\GalaSoft.MvvmLight.xml", "XML", 0, 1812, 0, 1, 1813
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\bin\Debug\NModbus.Serial.xml", "XML", 0, 13, 0, 1, 14
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\bin\Debug\NModbus.xml", "XML", 0, 2039, 0, 3, 2042
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\bin\Debug\Newtonsoft.Json.xml", "XML", 0, 11305, 0, 1, 11306
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\bin\Debug\System.Diagnostics.DiagnosticSource.xml", "XML", 0, 424, 0, 41, 465
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\bin\Release\GalaSoft.MvvmLight.Extras.xml", "XML", 0, 465, 0, 1, 466
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\bin\Release\GalaSoft.MvvmLight.Platform.xml", "XML", 0, 350, 0, 1, 351
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\bin\Release\GalaSoft.MvvmLight.xml", "XML", 0, 1812, 0, 1, 1813
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\bin\Release\NModbus.Serial.xml", "XML", 0, 13, 0, 1, 14
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\bin\Release\NModbus.xml", "XML", 0, 2039, 0, 3, 2042
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\bin\Release\Newtonsoft.Json.xml", "XML", 0, 11305, 0, 1, 11306
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\bin\Release\System.Diagnostics.DiagnosticSource.xml", "XML", 0, 424, 0, 41, 465
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\obj\Debug\.NETFramework,Version=v4.6.1.AssemblyAttributes.cs", "C#", 3, 0, 1, 1, 5
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\obj\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs", "C#", 3, 0, 1, 1, 5
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\obj\Release\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs", "C#", 3, 0, 1, 1, 5
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DataBuffer\pilot.DataBuffer.csproj", "XML", 0, 209, 0, 0, 209
"Total", "-", 102, 33025, 74, 128, 33329
