"filename", "language", "XML", "C#", "comment", "blank", "total"
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\DataAcess.cs", "C#", 0, 79, 24, 15, 118
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\IniHelper.cs", "C#", 0, 9, 81, 12, 102
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\Log\ILog.cs", "C#", 0, 12, 0, 2, 14
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\Log\LogRecordModel.cs", "C#", 0, 16, 3, 5, 24
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\Log\LogRecordViewModel.cs", "C#", 0, 49, 16, 11, 76
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\Properties\AssemblyInfo.cs", "C#", 0, 15, 17, 5, 37
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\Serialization\ISerialize.cs", "C#", 0, 14, 11, 5, 30
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\Serialization\IniHelper.cs", "C#", 0, 55, 37, 14, 106
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\Serialization\JsonSerialize.cs", "C#", 0, 46, 23, 16, 85
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\Serialization\XmlSerialize.cs", "C#", 0, 11, 0, 3, 14
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\SqlHelper.cs", "C#", 0, 1079, 1071, 144, 2294
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\bin\Debug\System.Configuration.ConfigurationManager.xml", "XML", 5197, 0, 0, 103, 5300
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\bin\Debug\System.Security.AccessControl.xml", "XML", 2047, 0, 0, 0, 2047
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\bin\Debug\System.Security.Permissions.xml", "XML", 7173, 0, 0, 200, 7373
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\bin\Debug\System.Security.Principal.Windows.xml", "XML", 1032, 0, 0, 59, 1091
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\bin\Release\Newtonsoft.Json.xml", "XML", 11305, 0, 0, 1, 11306
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\bin\Release\System.Configuration.ConfigurationManager.xml", "XML", 5197, 0, 0, 103, 5300
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\bin\Release\System.Security.AccessControl.xml", "XML", 2047, 0, 0, 0, 2047
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\bin\Release\System.Security.Permissions.xml", "XML", 7173, 0, 0, 200, 7373
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\bin\Release\System.Security.Principal.Windows.xml", "XML", 1032, 0, 0, 59, 1091
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\obj\Debug\.NETFramework,Version=v4.6.1.AssemblyAttributes.cs", "C#", 0, 3, 1, 1, 5
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\obj\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs", "C#", 0, 3, 1, 1, 5
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\obj\Release\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs", "C#", 0, 3, 1, 1, 5
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.DAL\pilot.DAL.csproj", "XML", 73, 0, 0, 0, 73
"Total", "-", 42276, 1394, 1286, 960, 45916
