"filename", "language", "C#", "XML", "JSON", "comment", "blank", "total"
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\App.xaml", "XML", 0, 14, 0, 0, 1, 15
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\App.xaml.cs", "C#", 13, 0, 0, 3, 2, 18
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\Common\DelegateCommand.cs", "C#", 25, 0, 0, 11, 8, 44
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\Common\NotificationObject.cs", "C#", 17, 0, 0, 3, 3, 23
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\DAL\JsonSerialize.cs", "C#", 48, 0, 0, 22, 13, 83
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\Models\MainModel.cs", "C#", 85, 0, 0, 7, 8, 100
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\Properties\AssemblyInfo.cs", "C#", 20, 0, 0, 27, 9, 56
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\Properties\Resources.Designer.cs", "C#", 33, 0, 0, 22, 9, 64
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\Properties\Settings.Designer.cs", "C#", 13, 0, 0, 8, 6, 27
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\ViewModels\MainViewModel.cs", "C#", 130, 0, 0, 13, 28, 171
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\ViewModels\ModbusSlaveViewModel.cs", "C#", 192, 0, 0, 25, 58, 275
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\Views\MainView.xaml", "XML", 0, 64, 0, 0, 13, 77
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\Views\MainView.xaml.cs", "C#", 26, 0, 0, 3, 2, 31
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\bin\Debug\HandyControl.xml", "XML", 0, 3504, 0, 0, 1, 3505
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\bin\Debug\NModbus.Serial.xml", "XML", 0, 13, 0, 0, 1, 14
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\bin\Debug\NModbus.xml", "XML", 0, 2039, 0, 0, 3, 2042
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SlaveComputerEmulator\bin\Debug\Newtonsoft.Json.xml", "XML", 0, 11305, 0, 0, 1, 11306
