"filename", "language", "XML", "C#", "JSON", "Ini", "comment", "blank", "total"
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\App.xaml", "XML", 18, 0, 0, 0, 0, 3, 21
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\App.xaml.cs", "C#", 0, 13, 0, 0, 3, 2, 18
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Assets\img\boat.svg", "XML", 1924, 0, 0, 0, 0, 0, 1924
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Assets\img\boat2.svg", "XML", 2194, 0, 0, 0, 0, 0, 2194
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Assets\img\boat4.svg", "XML", 2190, 0, 0, 0, 0, 0, 2190
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Assets\img\car.svg", "XML", 1, 0, 0, 0, 0, 0, 1
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Assets\theme\ResourceDictionary.xaml", "XML", 3, 0, 0, 0, 0, 1, 4
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Converter\InverseBoolConverter.cs", "C#", 0, 17, 0, 0, 3, 3, 23
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Converter\ListAddIndexConverter.cs", "C#", 0, 35, 0, 0, 3, 5, 43
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Converter\ListArray2StrListConverter.cs", "C#", 0, 44, 0, 0, 0, 8, 52
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Converter\LogBackGroundConverter.cs", "C#", 0, 31, 0, 0, 0, 3, 34
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Global\ActionMessage.cs", "C#", 0, 39, 0, 0, 11, 6, 56
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Global\BasePath.cs", "C#", 0, 13, 0, 0, 1, 5, 19
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Global\GlobalValues.cs", "C#", 0, 15, 0, 0, 6, 3, 24
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Global\Registrant.cs", "C#", 0, 12, 0, 0, 1, 2, 15
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Global\SensorManager.cs", "C#", 0, 42, 0, 0, 8, 8, 58
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Models\ConstantChangesChartModel.cs", "C#", 0, 25, 0, 0, 0, 4, 29
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Models\DBloginModel.cs", "C#", 0, 67, 0, 0, 15, 6, 88
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Models\DataCheckModel.cs", "C#", 0, 15, 0, 0, 18, 7, 40
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Models\GroupModel.cs", "C#", 0, 40, 0, 0, 6, 7, 53
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Models\ModbusMasterModel.cs", "C#", 0, 212, 0, 0, 43, 33, 288
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Models\ProjectRecordModel.cs", "C#", 0, 15, 0, 0, 6, 6, 27
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Models\SensorModel.cs", "C#", 0, 154, 0, 0, 29, 22, 205
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Models\SeosorManagerModel.cs", "C#", 0, 13, 0, 0, 1, 3, 17
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Models\TaskFlowModel.cs", "C#", 0, 15, 0, 0, 14, 3, 32
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Models\TaskModuleModel.cs", "C#", 0, 15, 0, 0, 0, 2, 17
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Properties\AssemblyInfo.cs", "C#", 0, 20, 0, 0, 27, 9, 56
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Properties\Resources.Designer.cs", "C#", 0, 33, 0, 0, 22, 9, 64
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Properties\Settings.Designer.cs", "C#", 0, 13, 0, 0, 8, 6, 27
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\ConnectDBViewModel.cs", "C#", 0, 105, 0, 0, 22, 18, 145
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\ConstantChangesChartViewModel.cs", "C#", 0, 31, 0, 0, 0, 6, 37
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\CreateSensorViewModel.cs", "C#", 0, 86, 0, 0, 16, 9, 111
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\DataCheckViewModel.cs", "C#", 0, 128, 0, 0, 34, 32, 194
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\MainViewModel.cs", "C#", 0, 431, 0, 0, 68, 61, 560
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\ModbusMasterViewModel.cs", "C#", 0, 161, 0, 0, 28, 29, 218
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\NewProjectViewModel.cs", "C#", 0, 154, 0, 0, 26, 27, 207
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\ProjectManagViewModel.cs", "C#", 0, 171, 0, 0, 27, 34, 232
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\RecentProjectViewModel.cs", "C#", 0, 43, 0, 0, 11, 5, 59
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\SelectTaskViewModel.cs", "C#", 0, 88, 0, 0, 15, 19, 122
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\SensorManagerViewModel.cs", "C#", 0, 178, 0, 0, 125, 43, 346
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\TaskFlowManageViewModel.cs", "C#", 0, 105, 0, 0, 52, 26, 183
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\TaskProcessViewModel.cs", "C#", 0, 72, 0, 0, 7, 17, 96
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\TaskViewModel.cs", "C#", 0, 46, 0, 0, 9, 7, 62
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\TiledCheckViewModel.cs", "C#", 0, 97, 0, 0, 24, 20, 141
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\TiledViewModel.cs", "C#", 0, 36, 0, 0, 3, 9, 48
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\ViewModels\ViewModelLocator.cs", "C#", 0, 66, 0, 0, 18, 19, 103
